"ISO","region","p_sex"
"BDI","Eastern Africa",0.00831168527897675
"COM","Eastern Africa",0.00792221370388117
"DJI","Eastern Africa",0.00718105887649121
"ERI","Eastern Africa",0.00796740378758693
"ETH","Eastern Africa",0.00775729392349846
"KEN","Eastern Africa",0.0150951418431209
"MDG","Eastern Africa",0.00782126802188332
"MWI","Eastern Africa",0.00750814117730113
"MUS","Eastern Africa",0.00782424251928004
"MOZ","Eastern Africa",0.00819477943538389
"RWA","Eastern Africa",0.010666312280733
"SSD","Eastern Africa",0.0148592895059786
"UGA","Eastern Africa",0.0173551824903454
"TZA","Eastern Africa",0.00951180449737409
"ZMB","Eastern Africa",0.0258690200917371
"ZWE","Eastern Africa",0.00753973117411259
"AGO","Central Africa",0.0158709632576745
"CMR","Central Africa",0.0187721567979045
"CAF","Central Africa",0.00319179990822806
"TCD","Central Africa",0.00956280379044505
"COG","Central Africa",0.0151115813424346
"COD","Central Africa",0.0214980731848113
"GNQ","Central Africa",0.015131507371177
"GAB","Central Africa",0.0144045391131616
"STP","Central Africa",0.0148331171782144
"DZA","Northern Africa",0.00765086011160008
"EGY","Northern Africa",0.007478122497117
"LBY","Northern Africa",0.00711442856325859
"MAR","Northern Africa",0.00726791787973591
"SDN","Northern Africa",0.00787487388639424
"TUN","Northern Africa",0.00762761100899696
"BWA","Southern Africa",0.00719613897824546
"SWZ","Southern Africa",0.0212212429257323
"LSO","Southern Africa",0.0142895455117389
"NAM","Southern Africa",0.0126547340750129
"ZAF","Southern Africa",0.0088760593137554
"BEN","Western Africa",0.0154342192013468
"BFA","Western Africa",0.00966053634051365
"CPV","Western Africa",0.0132346462383465
"CIV","Western Africa",0.0089095052534841
"GMB","Western Africa",0.0151852631594666
"GHA","Western Africa",0.0143352858363856
"GIN","Western Africa",0.0150476420442289
"GNB","Western Africa",0.014462064533044
"LBR","Western Africa",0.0148372088398897
"MLI","Western Africa",0.00393864779523256
"MRT","Western Africa",0.00786858671223163
"NER","Western Africa",0.0130095267685678
"NGA","Western Africa",0.017340685751588
"SEN","Western Africa",0.0149738332333751
"SLE","Western Africa",0.0053228843417481
"TGO","Western Africa",0.0147190389090004
