Country,ISO,Age,Sex,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Afghanistan,AFG,0,FE,2333997,2391222,2433072,2459389,2486083,2513756,2545844,2586519,2648392,2727897,2804347,2876923,2943318,3002108,3059163,3115209,3172497,3231790,3289542,3342338,3387241,3422904,3452736,3479332,3503801,3528645,3550626,3570291,3589575,3606940,3622622,3639465,3658854,3679352,3701076,3724459,3747436,3768296,3788383,3809032,3829220,3848570,3865975,3880640,3892604,3901774
Afghanistan,AFG,0,MA,2461378,2521259,2565475,2593097,2620554,2649146,2681471,2722000,2784640,2865569,2943516,3017711,3085419,3145247,3203228,3259887,3318057,3378310,3436627,3489767,3534469,3569435,3598498,3624296,3648062,3672605,3694224,3713392,3732374,3749579,3764921,3781465,3800800,3821212,3842901,3866379,3889447,3910423,3930664,3951478,3971976,3991830,4009749,4024893,4037306,4046800
Afghanistan,AFG,5,FE,1972147,2037944,2095066,2151037,2208948,2260413,2314714,2372019,2411756,2441856,2475840,2505357,2540434,2601052,2677137,2756109,2835452,2903551,2963288,3020870,3074532,3131894,3194251,3252599,3305371,3350707,3387365,3418185,3445770,3471196,3496927,3519740,3540198,3560249,3578375,3594799,3612350,3632421,3653599,3675987,3700005,3723605,3745075,3765737,3786930,3807649
Afghanistan,AFG,5,MA,2071388,2143528,2206516,2267603,2329332,2383646,2440605,2500370,2541534,2572476,2607425,2637196,2672053,2733278,2810557,2890942,2972061,3041586,3102348,3160775,3214796,3272529,3335379,3393925,3446556,3491260,3526903,3556656,3583168,3607637,3632826,3655066,3674835,3694398,3712186,3728109,3745215,3765061,3785982,3808183,3832156,3855712,3877175,3897891,3919173,3940135
Afghanistan,AFG,10,FE,1600743,1678114,1745909,1813630,1884698,1949410,2014962,2080111,2140673,2199404,2251931,2302697,2357074,2396332,2425038,2460777,2492770,2527332,2588084,2664124,2741681,2820575,2889636,2949505,3007133,3060937,3118518,3181079,3239640,3292629,3338187,3375065,3406107,3433912,3459556,3485493,3508514,3529177,3549432,3567764,3584390,3602135,3622391,3643741,3666294,3690471
Afghanistan,AFG,10,MA,1672077,1753665,1826709,1899895,1976685,2047830,2119322,2189991,2255620,2318007,2373379,2426852,2483519,2524074,2553498,2589997,2622170,2656531,2717825,2795003,2873882,2954424,3024798,3085577,3143909,3197947,3255785,3318720,3377371,3430120,3474954,3510741,3540645,3567313,3591935,3617270,3639663,3659588,3679303,3697249,3713333,3730593,3750584,3771641,3793976,3818076
Afghanistan,AFG,15,FE,1248022,1316965,1353553,1404154,1488197,1563050,1652372,1744416,1818815,1892818,1952590,2001059,2058203,2116844,2174682,2235198,2289482,2338037,2375796,2403386,2437037,2468753,2504646,2565437,2641436,2719084,2798176,2867485,2927628,2985499,3039524,3097283,3159984,3218684,3271819,3317532,3354589,3385824,3413829,3439677,3465813,3489035,3509902,3530353,3548875,3565689
Afghanistan,AFG,15,MA,1299586,1371011,1413466,1469360,1556187,1634947,1727066,1821858,1900870,1979977,2046188,2101679,2164008,2226271,2286658,2348825,2405013,2455791,2494906,2523580,2558410,2590536,2626343,2687715,2764732,2843567,2924136,2994599,3055538,3114015,3168206,3226159,3289150,3347855,3400667,3445590,3481526,3511623,3538495,3563331,3588869,3611480,3631638,3651578,3669751,3686069
Afghanistan,AFG,20,FE,992180,1044885,1043603,1057272,1121969,1173422,1253098,1349168,1430065,1521085,1596261,1652965,1718856,1783314,1846563,1918277,1979783,2029553,2085397,2139419,2190193,2241425,2294269,2332148,2359907,2393906,2426179,2462675,2523932,2600251,2678132,2757362,2826797,2887086,2945106,2999290,3057191,3120007,3178840,3232136,3278039,3315322,3346805,3375060,3401156,3427530
Afghanistan,AFG,20,MA,1028758,1081736,1084373,1102024,1168832,1223879,1305635,1402940,1486209,1578948,1656539,1716932,1784656,1849372,1914064,1988475,2052881,2105651,2164674,2221739,2275216,2329204,2384763,2424560,2453711,2489103,2522075,2558774,2620600,2697705,2776524,2856937,2927330,2988337,3046906,3101253,3159323,3222340,3281104,3334041,3379184,3415478,3446024,3473369,3498692,3524700
Afghanistan,AFG,25,FE,840644,880567,865266,856319,889280,910086,959517,1027992,1086634,1158318,1219495,1267829,1330112,1397693,1469806,1553254,1627926,1688989,1751762,1811328,1868404,1924273,1980194,2035997,2089954,2140905,2192532,2245842,2284324,2312721,2347223,2379901,2416697,2478055,2554367,2632229,2711426,2780882,2841256,2899384,2953705,3011732,3074654,3133607,3187043,3233117
Afghanistan,AFG,25,MA,865472,907133,894246,887372,921464,943836,994420,1063868,1124099,1197314,1260173,1310410,1372858,1438528,1508323,1589689,1662123,1721169,1783333,1844292,1904186,1963449,2023129,2082644,2139648,2193232,2247568,2303513,2344048,2374116,2410191,2443772,2480932,2542699,2619437,2697861,2777855,2848002,2908934,2967491,3021914,3080020,3143008,3201820,3254906,3300320
